# WAVECAT.DAT -- A list of wavelength sets that cover the range of each
# observation mode. Spectrographic modes have the wavelength spacing set
# to equal the detector spacing. Wavelength sets can either be specified
# as a file or a set of coefficients. In the latter case, the coefficients
# are surrounded by parentheses and separated by commas. There are up to
# four coefficients. In order, they are the short wavelength, long
# wavelength, dispersion at the short wavelength, and dispesion at the long
# wavelength. Either one or both of the dispersions are optional. Units
# of the wavelengths are in angstroms and of the dispersions are angstroms
# per pixel.
#
#_OBSMODE_______________FILENAME_______________________
cos,fuv                 (900.0,3000.0,1.0)
cos,nuv                 (1000.0,12000.0,1.0)
fgs			(2000.0,8000.0,1.0)
foc			(1000.0,8000.0,1.0)
hsp			(1000.0,12000.0,1.0)
nicmos			(7000.0,29996.0,1.0)
stis                    (1000.0,12000.0,1.0)
wfpc			(1000.0,12000.0,1.0)
wfpc2			(1000.0,12000.0,1.0)
wfc3			(1750.0,18000.0,1.0)
wfc3,uvis1              (1900,11000,1)
wfc3,uvis2              (1900,11000,1)
wfc3,ir                 (7000,18000,1)
acs,sbc			synphot$data/acs.dat
acs,hrc			synphot$data/acs.dat
acs,wfc1		synphot$data/acs.dat
acs,wfc2		synphot$data/acs.dat
acs,sbc,pr110l		synphot$data/acs_pr110l.dat
acs,sbc,pr130l		synphot$data/acs_pr130l.dat
acs,hrc,g800l		synphot$data/acs_g800l_hrc.dat
acs,hrc,pr200l		synphot$data/acs_pr200l_hrc.dat
acs,wfc1,g800l          synphot$data/acs_g800l_wfc.dat
acs,wfc2,g800l          synphot$data/acs_g800l_wfc.dat
nicmos,3,g096		synphot$data/nicmos_g096.dat
nicmos,3,g141		synphot$data/nicmos_g141.dat
nicmos,3,g206		synphot$data/nicmos_g206.dat
fos,blue,g130h		synphot$data/fos_blue_g130h.dat
fos,blue,g160l		synphot$data/fos_blue_g160l.dat
fos,blue,g190h		synphot$data/fos_blue_g190h.dat
fos,blue,g270h		synphot$data/fos_blue_g270h.dat
fos,blue,g400h		synphot$data/fos_blue_g400h.dat
fos,blue,g570h		synphot$data/fos_blue_g570h.dat
fos,blue,g650l		synphot$data/fos_blue_g650l.dat
fos,blue,prism		synphot$data/fos_blue_prism.dat
fos,red,g160l		synphot$data/fos_red_g160l.dat
fos,red,g190h		synphot$data/fos_red_g190h.dat
fos,red,g270h		synphot$data/fos_red_g270h.dat
fos,red,g400h		synphot$data/fos_red_g400h.dat
fos,red,g570h		synphot$data/fos_red_g570h.dat
fos,red,g650l		synphot$data/fos_red_g650l.dat
fos,red,g780h		synphot$data/fos_red_g780h.dat
fos,red,prism		synphot$data/fos_red_prism.dat
hrs,echa,33		synphot$data/hrs_echa_33.dat
hrs,echa,34		synphot$data/hrs_echa_34.dat
hrs,echa,35		synphot$data/hrs_echa_35.dat
hrs,echa,36		synphot$data/hrs_echa_36.dat
hrs,echa,37		synphot$data/hrs_echa_37.dat
hrs,echa,38		synphot$data/hrs_echa_38.dat
hrs,echa,39		synphot$data/hrs_echa_39.dat
hrs,echa,40		synphot$data/hrs_echa_40.dat
hrs,echa,41		synphot$data/hrs_echa_41.dat
hrs,echa,42		synphot$data/hrs_echa_42.dat
hrs,echa,43		synphot$data/hrs_echa_43.dat
hrs,echa,44		synphot$data/hrs_echa_44.dat
hrs,echa,45		synphot$data/hrs_echa_45.dat
hrs,echa,46		synphot$data/hrs_echa_46.dat
hrs,echa,47		synphot$data/hrs_echa_47.dat
hrs,echa,48		synphot$data/hrs_echa_48.dat
hrs,echa,49		synphot$data/hrs_echa_49.dat
hrs,echa,50		synphot$data/hrs_echa_50.dat
hrs,echa,51		synphot$data/hrs_echa_51.dat
hrs,echb,18		synphot$data/hrs_echb_18.dat
hrs,echb,19		synphot$data/hrs_echb_19.dat
hrs,echb,20		synphot$data/hrs_echb_20.dat
hrs,echb,21		synphot$data/hrs_echb_21.dat
hrs,echb,22		synphot$data/hrs_echb_22.dat
hrs,echb,23		synphot$data/hrs_echb_23.dat
hrs,echb,24		synphot$data/hrs_echb_24.dat
