# DETECTORS.DAT -- A catalog of the pixel scale (in arcseconds) and X and Y
# dimensions of the HST detectors
#
#_OBSMODE_______SCALE________NX_________NY_
acs,hrc         0.027       1024       1024
acs,sbc         0.032       1024       1024
acs,wfc1        0.05        4096       2048
acs,wfc2        0.05        4096       2048
foc,f/96        0.014        512        512
foc,f/48        0.028        512        512
wfpc2           0.046        800        800
wfpc2,1         0.046        800        800
wfpc2,2         0.1          800        800
wfpc2,3         0.1          800        800
wfpc2,4         0.1          800        800
nicmos,1        0.043        256        256
nicmos,2        0.075        256        256
nicmos,3        0.2          256        256
wfpc            0.1          800        800
wfpc,1          0.1          800        800
wfpc,2          0.1          800        800
wfpc,3          0.1          800        800
wfpc,4          0.1          800        800
wfpc,5          0.043        800        800
wfpc,6          0.043        800        800
wfpc,7          0.043        800        800
wfpc,8          0.043        800        800
stis,g140l	0.0244      1024       1024
stis,g140m	0.0290      1024       1024
stis,x140m	0.0290      1024       1024
stis,e140m	0.0290      1024       1024
stis,x140h	0.0290      1024       1024
stis,e140h	0.0290      1024       1024
stis,g230l	0.0244      1024       1024
stis,g230m	0.0290      1024       1024
stis,x230m	0.0290      1024       1024
stis,e230m	0.0290      1024       1024
stis,x230h	0.0290      1024       1024
stis,e230h	0.0290      1024       1024
stis,prism	0.0290      1024       1024
stis,mirfuv	0.0244      1024       1024
stis,mirnuv	0.0244      1024       1024
stis,g230lb     0.050       1024       1024
stis,g230mb     0.050       1024       1024
stis,g430l	0.050       1024       1024
stis,g430m	0.050       1024       1024
stis,g750l	0.050       1024       1024
stis,g750m	0.050       1024       1024
stis,mirvis	0.050       1024       1024
wfc3,ir		0.128       1014       1014
