
#  Hi Anand,
#  I have an elliptical galaxy spectrum which I've 
#  attached. The first column is wavelength in
#  microns and the second is Fnu at some arbitrary
#  distance. Note that the sampling intervals are not
#  uniform. The UV-optical points are from the 
#  literature while the infrared is derived from my
#  own unpublished specrta which have been normalized
#  to match filter photometry.  
#  Cheers,
#  Marcia
#  
# converted using ~anands/bin/gl229b to angstroms/flam August 1999
#
#	caveat: flam is in arbitrary units....
#
# wl/angst        flam_arbitraryunits
#
1.400000e+03     3.089698e-18
1.500000e+03     3.011249e-18
1.600000e+03     2.915950e-18
1.700000e+03     2.831950e-18
1.800000e+03     2.831374e-18
1.900000e+03     2.989620e-18
2.000000e+03     3.447614e-18
2.020000e+03     3.320905e-18
2.040000e+03     3.198478e-18
2.060000e+03     3.080157e-18
2.080000e+03     2.965773e-18
2.100000e+03     2.855167e-18
2.120000e+03     3.015001e-18
2.140000e+03     3.168390e-18
2.160000e+03     3.315606e-18
2.180000e+03     3.456912e-18
2.200000e+03     3.592555e-18
2.220000e+03     3.559139e-18
2.240000e+03     3.465992e-18
2.260000e+03     3.323919e-18
2.280000e+03     3.145907e-18
2.300000e+03     2.946921e-18
2.320000e+03     2.755970e-18
2.340000e+03     2.567257e-18
2.360000e+03     2.387209e-18
2.380000e+03     2.223939e-18
2.400000e+03     2.081892e-18
2.420000e+03     1.981075e-18
2.440000e+03     1.902405e-18
2.460000e+03     1.844351e-18
2.480000e+03     1.802538e-18
2.500000e+03     1.774772e-18
2.520000e+03     1.724052e-18
2.540000e+03     1.695615e-18
2.560000e+03     1.698043e-18
2.580000e+03     1.737575e-18
2.600000e+03     1.818268e-18
2.620000e+03     2.029072e-18
2.640000e+03     2.245347e-18
2.660000e+03     2.435846e-18
2.680000e+03     2.572011e-18
2.700000e+03     2.631923e-18
2.720000e+03     2.439380e-18
2.740000e+03     2.211028e-18
2.760000e+03     1.996885e-18
2.780000e+03     1.845289e-18
2.800000e+03     1.797225e-18
2.820000e+03     2.079065e-18
2.840000e+03     2.443880e-18
2.860000e+03     2.840471e-18
2.880000e+03     3.218259e-18
2.900000e+03     3.529067e-18
2.920000e+03     3.589536e-18
2.940000e+03     3.566530e-18
2.960000e+03     3.484965e-18
2.980000e+03     3.374202e-18
3.000000e+03     3.264407e-18
3.020000e+03     2.875844e-18
3.040000e+03     2.660684e-18
